Date,Close/Last,Open,High,Low,Change ,Percentage
01/19/2024,4839.81,4796.28,4842.07,4785.87,43.53,0.908
01/18/2024,4780.94,4760.1,4785.79,4740.57,20.84,0.438
01/17/2024,4739.21,4739.13,4744.23,4714.82,0.08,0.002
01/16/2024,4765.98,4772.35,4782.34,4747.12,-6.37,-0.133
1/12/2024,4783.83,4791.18,4802.4,4768.98,-7.35,-0.153
1/11/2024,4780.24,4792.13,4798.5,4739.58,-11.89,-0.248
1/10/2024,4783.45,4759.94,4790.8,4756.2,23.51,0.494
1/9/2024,4756.5,4741.93,4765.47,4730.35,14.57,0.307
1/8/2024,4763.54,4703.7,4764.54,4699.82,59.84,1.272
1/5/2024,4697.24,4690.57,4721.49,4682.11,6.67,0.142
1/4/2024,4688.68,4697.42,4726.78,4687.53,-8.74,-0.186
1/3/2024,4704.81,4725.07,4729.29,4699.71,-20.26,-0.429
1/2/2024,4742.83,4745.2,4754.33,4722.67,-2.37,-0.05
12/29/2023,4769.83,4782.88,4788.43,4751.99,-13.05,-0.273
12/28/2023,4783.35,4786.44,4793.3,4780.98,-3.09,-0.065
12/27/2023,4781.58,4773.45,4785.39,4768.9,8.13,0.17
12/26/2023,4774.75,4758.86,4784.72,4758.45,15.89,0.334
12/22/2023,4754.63,4753.92,4772.94,4736.77,0.71,0.015
12/21/2023,4746.75,4724.29,4748.71,4708.35,22.46,0.475
12/20/2023,4698.35,4764.73,4778.01,4697.82,-66.38,-1.393
12/19/2023,4768.37,4743.72,4768.69,4743.72,24.65,0.52
12/18/2023,4740.56,4725.58,4749.52,4725.58,14.98,0.317
12/15/2023,4719.19,4714.23,4725.53,4704.69,4.96,0.105
12/14/2023,4719.55,4721.04,4738.57,4694.34,-1.49,-0.032
12/13/2023,4707.09,4646.2,4709.69,4643.23,60.89,1.311
12/12/2023,4643.7,4618.3,4643.93,4608.09,25.4,0.55
12/11/2023,4622.44,4593.39,4623.71,4593.39,29.05,0.632
12/8/2023,4604.37,4576.2,4609.23,4574.06,28.17,0.616
12/7/2023,4585.59,4568.84,4590.92,4565.22,16.75,0.367
12/6/2023,4549.34,4586.23,4590.74,4546.5,-36.89,-0.804
12/5/2023,4567.18,4557.25,4578.56,4551.68,9.93,0.218
12/4/2023,4569.78,4564.37,4572.37,4546.72,5.41,0.119
12/1/2023,4594.63,4559.43,4599.39,4554.71,35.2,0.772
11/30/2023,4567.8,4554.87,4569.89,4537.24,12.93,0.284
11/29/2023,4550.58,4571.84,4587.64,4547.15,-21.26,-0.465
11/28/2023,4554.89,4545.55,4568.14,4540.51,9.34,0.205
11/27/2023,4550.43,4554.86,4560.52,4546.32,-4.43,-0.097
11/24/2023,4559.34,4555.84,4560.31,4552.8,3.5,0.077
11/22/2023,4556.62,4553.04,4568.43,4545.05,3.58,0.079
11/21/2023,4538.19,4538.77,4542.14,4525.51,-0.58,-0.013
11/20/2023,4547.38,4511.7,4557.11,4510.36,35.68,0.791
11/17/2023,4514.02,4509.55,4520.12,4499.66,4.47,0.099
11/16/2023,4508.24,4497.08,4511.99,4487.83,11.16,0.248
11/15/2023,4502.88,4505.3,4521.17,4495.31,-2.42,-0.054
11/14/2023,4495.7,4458.97,4508.67,4458.97,36.73,0.824
11/13/2023,4411.55,4406.66,4421.76,4393.82,4.89,0.111
11/10/2023,4415.24,4364.15,4418.03,4353.34,51.09,1.171
11/9/2023,4347.35,4391.41,4393.4,4343.94,-44.06,-1.003
11/8/2023,4382.78,4384.37,4391.2,4359.76,-1.59,-0.036
11/7/2023,4378.38,4366.21,4386.26,4355.41,12.17,0.279
11/6/2023,4365.98,4364.27,4372.21,4347.53,1.71,0.039
11/3/2023,4358.34,4334.23,4373.62,4334.23,24.11,0.556
11/2/2023,4317.78,4268.26,4319.72,4268.26,49.52,1.16
11/1/2023,4237.86,4201.27,4245.64,4197.74,36.59,0.871
10/31/2023,4193.8,4171.33,4195.55,4153.12,22.47,0.539
10/30/2023,4166.82,4139.39,4177.47,4132.94,27.43,0.663
10/27/2023,4117.37,4152.93,4156.7,4103.78,-35.56,-0.856
10/26/2023,4137.23,4175.99,4183.6,4127.9,-38.76,-0.928
10/25/2023,4186.77,4232.42,4232.42,4181.42,-45.65,-1.079
10/24/2023,4247.68,4235.79,4259.38,4219.43,11.89,0.281
10/23/2023,4217.04,4210.4,4255.84,4189.22,6.64,0.158
